epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,271.894,2.09628,1.42684,1.02444,0.49868,0.49979,0.46565,0.2904,2.18749,1.43902,1.07318,0.000143097,0.000143097,0.000143097
90,274.806,2.08549,1.43501,1.00697,0.49926,0.49138,0.46845,0.29291,2.18847,1.43474,1.07183,0.000132098,0.000132098,0.000132098
91,278.76,2.06803,1.49388,1.00929,0.49283,0.49462,0.47024,0.29051,2.19713,1.43446,1.07062,0.000121099,0.000121099,0.000121099
92,281.458,2.08615,1.48717,1.03296,0.57212,0.45173,0.46706,0.29193,2.20154,1.43008,1.06807,0.0001101,0.0001101,0.0001101
93,284.203,2.07651,1.5101,1.02002,0.57051,0.4595,0.46781,0.29259,2.20267,1.42764,1.06541,9.91012e-05,9.91012e-05,9.91012e-05
94,286.856,2.04553,1.42285,0.99917,0.57051,0.4595,0.46781,0.29259,2.20267,1.42764,1.06541,8.81023e-05,8.81023e-05,8.81023e-05
95,289.56,2.0559,1.44223,1.00725,0.58023,0.4605,0.4694,0.29253,2.20496,1.42798,1.06397,7.71034e-05,7.71034e-05,7.71034e-05
96,292.272,2.05099,1.44293,1.00828,0.57099,0.45864,0.46763,0.29321,2.20139,1.42869,1.06212,6.61045e-05,6.61045e-05,6.61045e-05
97,295,2.05014,1.4524,1.02566,0.55922,0.47037,0.4711,0.29337,2.20122,1.42915,1.06098,5.51056e-05,5.51056e-05,5.51056e-05
98,297.7,2.03418,1.44523,1.00981,0.56483,0.46474,0.47063,0.29377,2.19791,1.4279,1.06158,4.41067e-05,4.41067e-05,4.41067e-05
99,300.446,2.0528,1.4068,1.01338,0.56491,0.46034,0.46868,0.2928,2.19533,1.42888,1.06233,3.31078e-05,3.31078e-05,3.31078e-05
100,303.199,2.07611,1.44153,1.00868,0.56641,0.45915,0.46508,0.29306,2.19686,1.42904,1.06318,2.21089e-05,2.21089e-05,2.21089e-05
